2020-12-27 12:12:450 INFO  NewAndUsedCarSearchPage :40 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (458044db8f3d8c046965afba1f5a80fc)] -> xpath: //select[@id='models']]
2020-12-27 12:12:308 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 12:12:314 INFO  HomePage :23 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (395fb2128d18f2107935caa03e7e85ac)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 12:12:923 INFO  HomePage :30 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (395fb2128d18f2107935caa03e7e85ac)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 12:12:47 INFO  NewAndUsedCarSearchPage :25 - Verify that user is on new and used car search page [[ChromeDriver: chrome on WINDOWS (395fb2128d18f2107935caa03e7e85ac)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2020-12-27 12:12:484 INFO  NewAndUsedCarSearchPage :32 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (395fb2128d18f2107935caa03e7e85ac)] -> xpath: //select[@id='makes']]
2020-12-27 12:12:882 INFO  NewAndUsedCarSearchPage :39 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (395fb2128d18f2107935caa03e7e85ac)] -> xpath: //select[@id='models']]
2020-12-27 12:12:444 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 12:12:873 INFO  HomePage :23 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (4d9aff2735bb5288b82a7ce80a206b57)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 12:12:956 INFO  HomePage :30 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (4d9aff2735bb5288b82a7ce80a206b57)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 12:12:761 INFO  NewAndUsedCarSearchPage :26 - Verify that user is on new and used car search page [[ChromeDriver: chrome on WINDOWS (4d9aff2735bb5288b82a7ce80a206b57)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2020-12-27 12:12:974 INFO  NewAndUsedCarSearchPage :33 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (4d9aff2735bb5288b82a7ce80a206b57)] -> xpath: //select[@id='makes']]
2020-12-27 12:12:212 INFO  NewAndUsedCarSearchPage :40 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (4d9aff2735bb5288b82a7ce80a206b57)] -> xpath: //select[@id='models']]
2020-12-27 12:12:399 INFO  NewAndUsedCarSearchPage :47 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (4d9aff2735bb5288b82a7ce80a206b57)] -> xpath: //select[@id='locations']]
2020-12-27 12:12:721 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 12:12:512 INFO  HomePage :23 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (d8a10b01d09ce5469ce0c841b2d122a3)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 12:12:907 INFO  HomePage :30 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (d8a10b01d09ce5469ce0c841b2d122a3)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 12:12:538 INFO  NewAndUsedCarSearchPage :28 - Verify that user is on new and used car search page [[ChromeDriver: chrome on WINDOWS (d8a10b01d09ce5469ce0c841b2d122a3)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2020-12-27 12:12:936 INFO  NewAndUsedCarSearchPage :35 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (d8a10b01d09ce5469ce0c841b2d122a3)] -> xpath: //select[@id='makes']]
2020-12-27 12:12:148 INFO  NewAndUsedCarSearchPage :42 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (d8a10b01d09ce5469ce0c841b2d122a3)] -> xpath: //select[@id='models']]
2020-12-27 12:12:297 INFO  NewAndUsedCarSearchPage :49 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (d8a10b01d09ce5469ce0c841b2d122a3)] -> xpath: //select[@id='locations']]
2020-12-27 12:12:423 INFO  NewAndUsedCarSearchPage :56 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (d8a10b01d09ce5469ce0c841b2d122a3)] -> xpath: //select[@id='priceTo']]
2020-12-27 12:12:107 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 12:12:392 INFO  HomePage :23 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (45a522a45fac81852d61fd022f167270)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 12:12:971 INFO  HomePage :30 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (45a522a45fac81852d61fd022f167270)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 12:12:437 INFO  NewAndUsedCarSearchPage :31 - Verify that user is on new and used car search page [[ChromeDriver: chrome on WINDOWS (45a522a45fac81852d61fd022f167270)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2020-12-27 12:12:661 INFO  NewAndUsedCarSearchPage :38 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (45a522a45fac81852d61fd022f167270)] -> xpath: //select[@id='makes']]
2020-12-27 12:12:100 INFO  NewAndUsedCarSearchPage :45 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (45a522a45fac81852d61fd022f167270)] -> xpath: //select[@id='models']]
2020-12-27 12:12:301 INFO  NewAndUsedCarSearchPage :52 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (45a522a45fac81852d61fd022f167270)] -> xpath: //select[@id='locations']]
2020-12-27 12:12:483 INFO  NewAndUsedCarSearchPage :59 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (45a522a45fac81852d61fd022f167270)] -> xpath: //select[@id='priceTo']]
2020-12-27 12:12:688 INFO  NewAndUsedCarSearchPage :66 - clicking on find my next car button[[ChromeDriver: chrome on WINDOWS (45a522a45fac81852d61fd022f167270)] -> xpath: //input[@id='search-submit']]
2020-12-27 12:12:462 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 12:12:812 INFO  HomePage :23 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (8736883359faa5db1748a50638fc28ca)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 12:12:755 INFO  HomePage :30 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (8736883359faa5db1748a50638fc28ca)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 12:12:77 INFO  NewAndUsedCarSearchPage :31 - Verify that user is on new and used car search page [[ChromeDriver: chrome on WINDOWS (8736883359faa5db1748a50638fc28ca)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2020-12-27 12:12:418 INFO  NewAndUsedCarSearchPage :38 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (8736883359faa5db1748a50638fc28ca)] -> xpath: //select[@id='makes']]
2020-12-27 12:12:624 INFO  NewAndUsedCarSearchPage :45 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (8736883359faa5db1748a50638fc28ca)] -> xpath: //select[@id='models']]
2020-12-27 12:12:934 INFO  NewAndUsedCarSearchPage :52 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (8736883359faa5db1748a50638fc28ca)] -> xpath: //select[@id='locations']]
2020-12-27 12:12:106 INFO  NewAndUsedCarSearchPage :59 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (8736883359faa5db1748a50638fc28ca)] -> xpath: //select[@id='priceTo']]
2020-12-27 12:12:252 INFO  NewAndUsedCarSearchPage :66 - clicking on find my next car button[[ChromeDriver: chrome on WINDOWS (8736883359faa5db1748a50638fc28ca)] -> xpath: //input[@id='search-submit']]
2020-12-27 12:12:949 INFO  BMW1SeriesPage :20 - verify that user is on BMW 1 series page[[ChromeDriver: chrome on WINDOWS (8736883359faa5db1748a50638fc28ca)] -> xpath: //h1[contains(text(),'21 BMW 1 Series for Sale under $30,000 in Sydney, ')]]
2020-12-27 12:12:337 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 12:12:58 INFO  HomePage :23 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (c54ea413e581264de528e08ddc4893e1)] -> xpath: //a[contains(text(),'buy + sell')]]
